,month,total_rainfall
0,2012-01,106.1
1,2012-02,83.6
2,2012-03,313.4
3,2012-04,260.6
4,2012-05,292.0
5,2012-06,53.0
6,2012-07,130.8
7,2012-08,119.0
8,2012-09,107.6
9,2012-10,122.2
10,2012-11,208.2
11,2012-12,363.4
12,2013-01,262.0
13,2013-02,395.2
14,2013-03,85.8
15,2013-04,159.4
16,2013-05,211.4
17,2013-06,111.4
18,2013-07,174.6
19,2013-08,165.6
20,2013-09,257.0
21,2013-10,285.4
22,2013-11,292.4
23,2013-12,348.2
24,2014-01,75.4
25,2014-02,0.2
26,2014-03,66.0
27,2014-04,110.0
28,2014-05,125.8
29,2014-06,71.4
30,2014-07,148.6
31,2014-08,241.0
32,2014-09,83.6
33,2014-10,120.0
34,2014-11,250.8
35,2014-12,245.6
36,2015-01,79.6
37,2015-02,18.8
38,2015-03,84.4
39,2015-04,73.2
40,2015-05,89.0
41,2015-06,95.8
42,2015-07,116.8
43,2015-08,185.8
44,2015-09,61.6
45,2015-10,87.2
46,2015-11,72.6
47,2015-12,302.3
48,2016-01,126.6
49,2016-02,186.0
50,2016-03,6.2
51,2016-04,89.8
52,2016-05,193.8
53,2016-06,162.8
54,2016-07,168.6
55,2016-08,139.2
56,2016-09,118.9
57,2016-10,181.0
58,2016-11,290.2
59,2016-12,292.6
60,2017-01,197.6
61,2017-02,158.4
62,2017-03,136.2
63,2017-04,208.6
64,2017-05,190.0
65,2017-06,106.0
66,2017-07,79.6
67,2017-08,84.2
68,2017-09,124.4
69,2017-10,120.8
70,2017-11,268.6
71,2017-12,371.2
